name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Therese Alshammar,Swimming,34,180,65,Sweden,F,0,0,0,0
Julio Alsogaray,Sailing,32,181,84,Argentina,M,0,0,0,0
Ida Alstad,Handball,27,170,,Norway,F,0,0,0,0
Maria Suelen Altheman,Judo,23,175,78,Brazil,F,0,0,0,0
Eniola Aluko,Football,25,157,56,Great Britain,F,0,0,0,0
Ever Alvarado,Football,20,170,70,Honduras,M,0,0,0,0
Luis Alvarez,Archery,21,174,90,Mexico,M,0,0,0,0
Sergio Alvarez Boulet,Weightlifting,32,,56,Cuba,M,0,0,0,0
Lazaro Alvarez Estrada,Boxing,21,,,Cuba,M,0,0,0,0
Yuri Alvear,Judo,26,174,70,Colombia,F,0,0,1,1
Francisco Javier Alves,Athletics,31,182,66,Spain,M,0,0,0,0
Thiago Soares Alves,Volleyball,26,194,88,Brazil,M,0,0,0,0
Anna Alyabyeva,Gymnastics - Rhythmic,18,174,,Kazakhstan,F,0,0,0,0
Saad Surour Alyassi,Football,22,173,64,United Arab Emirates,M,0,0,0,0
Darisleydis Amador,Canoe Sprint,24,,,Cuba,F,0,0,0,0
Andrey Amador Bakkazakova,Cycling - Road,25,181,72,Costa Rica,M,0,0,0,0
Mohammed Aman,Athletics,18,175,58,Ethiopia,M,0,0,0,0
Ranohon Amanova,Swimming,18,174,61,Uzbekistan,F,0,0,0,0
Dante Amaral,Volleyball,31,201,86,Brazil,M,0,0,0,0
Yadinys Amaris,Judo,28,162,57,Colombia,F,0,0,0,0
Pol Amat,Hockey,34,183,78,Spain,M,0,0,0,0
Doreen Amata,Athletics,24,198,54,Nigeria,F,0,0,0,0
Kim Amb,Athletics,22,177,86,Sweden,M,0,0,0,0
Eloise Amberger,Synchronised Swimming,25,165,,Australia,F,0,0,0,0
Serge Ambomo,Boxing,26,,,Cameroon,M,0,0,0,0
Harald Ambros,Equestrian,32,177,75,Austria,M,0,0,0,0
Nourhan Amer,Shooting,19,160,55,Egypt,F,0,0,0,0
Christine Amertil,Athletics,32,168,54,Bahamas,F,0,0,0,0
Alena Amialiusik,Cycling - Road,23,169,53,Belarus,F,0,0,0,0
Al-Farouq Aminu,Basketball,21,208,,Nigeria,M,0,0,0,0
Alade Aminu,Basketball,24,210,,Nigeria,M,0,0,0,0
Eduarda Amorim,Handball,25,186,84,Brazil,F,0,0,0,0
Vanessa Amoros Quiles,Handball,29,167,62,Spain,F,0,0,0,0
Nijel Amos,Athletics,18,179,60,Botswana,M,0,0,0,0
Alberta Boatema Ampomah,Weightlifting,17,,80,Ghana,F,0,0,0,0
Noureddine Amrabat,Football,25,178,81,Morocco,M,0,0,0,0
Marwa Amri,Wrestling,23,161,55,Tunisia,F,0,0,0,0
Mohamed Amsif,Football,23,187,90,Morocco,M,0,0,0,0
Kum Ae An,Judo,32,160,52,Democratic People's Republic  of Korea,F,1,0,0,1
Phara Anacharsis,Athletics,28,177,66,France,F,0,0,0,0
Tumua Anae,Water Polo,23,180,70,United States of America,F,0,0,0,0
Takamasa Anai,Judo,27,187,100,Japan,M,0,0,0,0
Anis Ananenka,Athletics,26,176,65,Belarus,M,0,0,0,0
Anton Anchin,Swimming,22,187,68,Russian Federation,M,0,0,0,0
David Andersen,Basketball,32,212,102,Australia,M,0,0,0,0
Stine Andersen,Shooting,27,169,75,Denmark,F,0,0,0,0
